,Ratings,Comments_Title,Actual_Comment,Review_Date_place,Verified_or_Not?,Product_Color
20,4.0 out of 5 stars,Average,"One of the earbuds didn't work after almost 1 month.. Didn't expect this..touch control good, connects to all devices easily",Reviewed in India on 11 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
21,4.0 out of 5 stars,Worth it,"Good Sound Quality
Good Build Quality
Only thing which I not like that above 80% volume Distortion Will occur. After All Very Good Product.",Reviewed in India on 14 December 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
22,4.0 out of 5 stars,Amazing sound quality,And good product,Reviewed in India on 18 December 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
23,4.0 out of 5 stars,"Nice for music, not for calling","Nice sound, but no noise cancelling.",Reviewed in India on 15 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
24,4.0 out of 5 stars,Nice one,"Brand Not worth, But working fine",Reviewed in India on 19 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
25,4.0 out of 5 stars,Good purchase,Sound quality is nice and noise cancellation is not the best but it's decent,Reviewed in India on 8 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
26,4.0 out of 5 stars,Best airbuds mera saund lajawab hai bhai,Super saund mere liye Nord buds 2 thanku,Reviewed in India on 8 December 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
27,4.0 out of 5 stars,Good Sound Quality,Good Product,Reviewed in India on 9 December 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
28,4.0 out of 5 stars,Long last battery life,Volume & bass is very good & good design superb design compact outer very good gaming audio,Reviewed in India on 7 December 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
29,4.0 out of 5 stars,Ok,Ok product,Reviewed in India on 7 December 2024,Verified Purchase,Colour: Black SlateSize: Extra LargeStyle Name: OnePlus Nord Buds
30,4.0 out of 5 stars,Good earbuds,"Overall good earbuds. I write review after 1month use it.
#Microphone for calling/ online meets - 5/5
#Speaker good but not for very long time continues use- (sometimes start pain in ears) so- 4/5
#Bass good for music lovers 5/5
#Battery backup not very good (as mentioned 40hrs wrong) in normal use 3 days only so - 3/5
# No call pick /end button (keys) when u gives 2 microphone for good calling but unable to pick calls from earbuds button.
#Only one device blutooth connected at ones. This is biggest problem, now days maximum person have 2 devices.",Reviewed in India on 26 October 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
31,4.0 out of 5 stars,2.5 years and still working,"Bought these in May 2022… I’ve been waiting for them to stop working or battery go bad so that I can buy a new one, a latest model but even after 2.5 years, its working perfectly.",Reviewed in India on 28 November 2024,Verified Purchase,Colour: Black SlateSize: Extra LargeStyle Name: OnePlus Nord Buds
32,4.0 out of 5 stars,No volume up-down option,"You cannot up or down the volume from the buds which is a problem
Sound quality is good for its price range",Reviewed in India on 3 December 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
33,4.0 out of 5 stars,Quality,Good sound quality,Reviewed in India on 4 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
34,4.0 out of 5 stars,Sound quality good,Le bhai le soch mat,Reviewed in India on 6 December 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
35,4.0 out of 5 stars,Good sound,The sound is good.,Reviewed in India on 4 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
36,4.0 out of 5 stars,Sounds,"After used 3months super quality good bess, good sound situuuuuuuu",Reviewed in India on 4 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
37,4.0 out of 5 stars,Worth the price,Great product,Reviewed in India on 3 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
38,4.0 out of 5 stars,Good item,Missing Red cable club card but all good 👍,Reviewed in India on 29 November 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
39,4.0 out of 5 stars,Review after 14 months,"I used this device for 1.2years. Still works fine
But one problem in this tws is sometimes
Left side buds not fully charged. Stopped at 60 or 80% this only problem i faced in this tws
Call quality is above average
Otherwise best in segment
I purchased this one at Rs 2.2k
Now its price just 1.5k it's truly worthy product
If you want to buy this product please go for it
Seriously good one",Reviewed in India on 9 November 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
40,4.0 out of 5 stars,Worth for money,Nice product and protect earbud cover from abrasion,Reviewed in India on 30 November 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
41,4.0 out of 5 stars,Worth buying it,"Play Video
Writing this review after 2 weeks using them. Don’t think too much just go for them. They are worth buying. Connection is good and mic over call works well. Sound quality and bass is good for the price.
Batter backup is nice, you can use them for 6 hours long.",Reviewed in India on 27 November 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
42,5.0 out of 5 stars,**Review Title:** Outstanding Sound Quality with Impressive Battery Life,"**Review:**
I recently purchased the OnePlus Buds 2R, and after using them extensively for a month, I feel confident in sharing my detailed review. These earbuds are an excellent addition to OnePlus’s audio lineup, offering a mix of stellar sound quality, impressive battery life, and a comfortable fit. Below, I will discuss various aspects including design, comfort, sound quality, battery life, connectivity, and overall value.

**Design and Comfort:**
The OnePlus Buds 2R boast a minimalist and sleek design. They come in a compact, oval-shaped charging case that easily fits in pockets and bags. The earbuds themselves have a matte finish which adds a premium touch and makes them less prone to fingerprints.

In terms of comfort, the OnePlus Buds 2R are exceptionally light and fit snugly in the ear. They come with multiple sizes of silicone ear tips, ensuring a secure and comfortable fit for different ear shapes. I’ve worn them for extended periods without experiencing any discomfort, making them ideal for long listening sessions or workouts.

**Sound Quality:**
The sound quality of the OnePlus Buds 2R is where these earbuds truly shine. They are equipped with 10mm dynamic drivers that deliver a rich and balanced sound profile. The bass is punchy without being overwhelming, the mids are clear and well-defined, and the highs are crisp and detailed. Whether I was listening to music, podcasts, or watching movies, the audio performance was consistently excellent.

Additionally, the OnePlus Buds 2R support Dolby Atmos, which significantly enhances the spatial audio experience, providing a more immersive sound. The passive noise isolation, while not as effective as active noise cancellation, does a decent job of blocking out ambient noise, making them suitable for use in various environments.

**Battery Life:**
Battery life is another strong point for the OnePlus Buds 2R. On a full charge, the earbuds provide up to 7 hours of continuous playback, and the charging case offers an additional 30 hours of battery life. The case supports fast charging, and just 10 minutes of charging provides up to 10 hours of playback time, which is incredibly convenient for those on the go.

**Connectivity:**
The OnePlus Buds 2R feature Bluetooth 5.2, ensuring a stable and reliable connection. Pairing the earbuds with my devices was seamless, and I didn’t experience any dropouts or connectivity issues during use. They also support Fast Pair, making it quick and easy to connect to OnePlus smartphones and other compatible devices. The touch controls are responsive and intuitive, allowing me to manage playback, adjust volume, and access voice assistants with ease.

**Additional Features:**
The OnePlus Buds 2R come with a few noteworthy features that enhance the overall user experience. They are IP55 rated, meaning they are resistant to dust and water splashes, making them suitable for workouts and outdoor activities. Additionally, the earbuds have a low latency mode, which is particularly beneficial for gaming and watching videos, ensuring audio and video sync perfectly.

**Conclusion:**
Overall, the OnePlus Buds 2R offer exceptional value for their price. They combine high-quality sound, impressive battery life, and a comfortable fit, making them a great choice for both casual listeners and audiophiles. While they lack active noise cancellation, the passive noise isolation is adequate for most environments. If you’re looking for reliable and high-performing earbuds without breaking the bank, the OnePlus Buds 2R are definitely worth considering.

**Pros:**
- Excellent sound quality with balanced audio profile
- Impressive battery life with fast charging
- Comfortable and secure fit
- Reliable connectivity with Bluetooth 5.2
- IP55 rating for dust and water resistance
- Low latency mode for gaming and videos

**Cons:**
- No active noise cancellation
- Limited color options

I highly recommend the OnePlus Buds 2R for anyone in search of high-quality, affordable wireless earbuds.

---

I hope this review helps you in making an informed decision!",Reviewed in India on 27 May 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
